"Batch Summary",,,,,,,,,,,,,,,,,,,,
"Batch","This is a dummy file name!","collected on","11-Mar-20","at","20:15","using instrument","NH029","with","Stable 1.71.6","Reanalyzed on","12-Mar-20","at","11:04","using instrument","NH029","with","Stable 1.71.6",,,
,,,,,,,,,,,,,,,,,,,,
"No","Type","Name","Weight","Time","File","Sam Area(28)  ","Sam           ","Raw Delta(29) ","Delta(15)     ","Sam Area(44)  ","Sam           ","Delta(13)     ","Delta(18)     ","N(%)","C(%)","Corrected     ","Corrected     ","Corrected     ","Delta N2","Delta CO2"
" "," "," "," "," ","Name",,"Ht(nA)(28)    ",,"wrt Air       ",,"Ht(nA)(44)    ","wrt PDB       ","wrt PDB       ",,,"Delta(15)     ","Delta(13)     ","Delta(18)     ","wrt Std","wrt Std"
" "," "," "," "," ",,,,,,,,,,,,"wrt Air       ","wrt PDB       ","wrt PDB       ",,
,,,,,,,,,,,,,,,,,,,,
1,"Sam"," bla",1," 11 March 2020 11:58","This is a dummy file name!","4.25E-10","2.74E-02",-11.5648,-14.5301,"5.75E-11",0.0055,-93.69,-18.85,0.03,0.02,-13.07,-66.84,-11.21,"False         ","False         "
2,"Sam"," bla",1," 11 March 2020 12:07","This is a dummy file name!","3.73E-10","2.31E-02",20.9907,17.9278,"2.56E-11",0.0032,-110.1,-45.97,0.03,0.01,19.38,-83.25,-38.31,"False         ","False         "
3,"Sam"," IAEA 600",0.897," 11 March 2020 12:16","This is a dummy file name!","3.22E-07","2.25E+01",4.1759,1.1633,"1.63E-07",5.8809,-27.57,-3.83,28.83,48.3,2.62,-0.73,3.85,"False         ","False         "
4,"Ref"," BBOT_CN.",0.942," 11 March 2020 12:25","This is a dummy file name!","7.64E-08","5.45E+00",2.6195,-0.3884,"2.57E-07",8.7274,-25.88,-6.17,6.53,72.46,1.07,0.97,1.53,"False         ","False         "
5,"Ref"," BBOT_CN.",1.012," 11 March 2020 12:35","This is a dummy file name!","8.24E-08","5.87E+00",2.631,-0.3769,"2.78E-07",9.2468,-25.82,-6.78,6.55,72.79,1.08,1.03,0.93,"False         ","False         "
6,"Ref"," BBOT_CN.",0.988," 11 March 2020 12:44","This is a dummy file name!","8.00E-08","5.70E+00",2.5151,-0.4924,"2.70E-07",9.0176,-25.84,-6.8,6.52,72.38,0.96,1,0.93,"False         ","False         "
7,"Ref"," BBOT_CN.",0.965," 11 March 2020 12:53","This is a dummy file name!","7.85E-08","5.61E+00",2.373,-0.6341,"2.64E-07",8.8707,-25.86,-6.69,6.55,72.72,0.82,0.98,1.06,"False         ","False         "
8,"Sam"," BLS",4.97," 11 March 2020 13:02","This is a dummy file name!","1.33E-07","1.08E+01",1.046,-1.9571,"9.59E-07",24.457,-27.14,-10.11,2.16,51.23,-0.5,-0.3,-2.35,"False         ","False         "
9,"Sam"," BLS",4.727," 11 March 2020 13:11","This is a dummy file name!","1.27E-07","1.03E+01",0.8769,-2.1257,"9.11E-07",23.4933,-27.13,-10.23,2.17,51.14,-0.67,-0.29,-2.45,"False         ","False         "
10,"Sam",1,4.918," 11 March 2020 13:21","This is a dummy file name!","7.90E-08","6.35E+00",1.5724,-1.4323,"9.81E-07",24.8023,-25.69,-10.48,1.31,53.37,0.03,1.12,-2.09,"False         ","False         "
11,"Sam",2,4.788," 11 March 2020 13:30","This is a dummy file name!","4.23E-08","3.37E+00",0.8033,-2.1991,"8.91E-07",23.0547,-25.32,-10.3,0.71,49.51,-0.74,1.52,-2.37,"False         ","False         "
12,"Sam",3,4.969," 11 March 2020 13:39","This is a dummy file name!","4.24E-08","3.35E+00",1.0227,-1.9804,"9.66E-07",24.6147,-24.81,-10.36,0.69,51.85,-0.52,2.02,-2.24,"False         ","False         "
13,"Sam",4,4.952," 11 March 2020 13:48","This is a dummy file name!","3.89E-08","3.12E+00",-0.0261,-3.026,"9.46E-07",24.1795,-24.86,-10.51,0.64,51.19,-1.56,1.94,-2,"False         ","False         "
14,"Sam",5,4.717," 11 March 2020 13:58","This is a dummy file name!","6.57E-08","5.20E+00",3.1222,0.1129,"9.43E-07",24.1323,-25.46,-10.38,1.13,53.36,1.57,1.36,-2.17,"False         ","False         "
15,"Sam",6,4.968," 11 March 2020 14:07","This is a dummy file name!","4.81E-08","3.84E+00",1.6217,-1.3832,"9.69E-07",24.5834,-25.19,-10.43,0.78,51.94,0.08,1.64,-2.45,"False         ","False         "
16,"Sam",7,4.859," 11 March 2020 14:16","This is a dummy file name!","4.28E-08","3.40E+00",0.493,-2.5085,"9.24E-07",23.6663,-25.32,-10.45,0.71,50.56,-1.05,1.52,-2.54,"False         ","False         "
17,"Sam",8,4.717," 11 March 2020 14:25","This is a dummy file name!","6.47E-08","5.08E+00",2.9368,-0.072,"9.33E-07",23.9422,-25.54,-10.42,1.11,52.8,1.39,1.28,-2.24,"False         ","False         "
18,"Sam",9,4.772," 11 March 2020 14:34","This is a dummy file name!","3.85E-08","3.04E+00",1.4309,-1.5734,"9.07E-07",23.3748,-24.62,-10.31,0.65,50.7,-0.11,2.2,-2.2,"False         ","False         "
19,"Sam",10,4.929," 11 March 2020 14:44","This is a dummy file name!","4.85E-08","3.85E+00",1.169,-1.8345,"9.43E-07",24.1266,-25.17,-10.39,0.79,50.9,-0.38,1.66,-2.45,"False         ","False         "
20,"Sam",11,4.757," 11 March 2020 14:53","This is a dummy file name!","2.81E-08","2.24E+00",-0.8181,-3.8157,"8.70E-07",22.5148,-24.95,-10.23,0.48,48.62,-2.36,1.89,-2.36,"False         ","False         "
21,"Sam"," bla",1," 11 March 2020 15:02","This is a dummy file name!","2.36E-10","1.65E-02",-201.8063,-204.2009,"4.53E-11",0.0045,-93.27,-31.81,0.02,0.01,-202.74,-66.44,-23.82,"False         ","False         "
22,"Ref"," BBOT_CN.",1.009," 11 March 2020 15:11","This is a dummy file name!","8.02E-08","5.71E+00",2.4939,-0.5136,"2.74E-07",9.1195,-25.81,-7.63,6.43,72.27,0.95,1.01,0.39,"False         ","False         "
23,"Ref"," BBOT_CN.",0.953," 11 March 2020 15:20","This is a dummy file name!","7.59E-08","5.39E+00",2.5307,-0.4768,"2.58E-07",8.678,-25.81,-7.13,6.44,72.06,0.98,1.02,0.9,"False         ","False         "
24,"Sam"," BLS",4.774," 11 March 2020 15:29","This is a dummy file name!","1.27E-07","1.01E+01",1.1219,-1.8814,"9.19E-07",23.5969,-27.13,-10.14,2.15,51.27,-0.42,-0.3,-2.09,"False         ","False         "
25,"Sam"," BLS",4.944," 11 March 2020 15:39","This is a dummy file name!","1.32E-07","1.07E+01",0.9692,-2.0337,"9.55E-07",24.3646,-27.12,-10.46,2.16,51.45,-0.57,-0.3,-2.39,"False         ","False         "
26,"Sam",12,4.814," 11 March 2020 15:48","This is a dummy file name!","2.39E-08","1.90E+00",-1.5158,-4.5113,"8.65E-07",22.6043,-25.42,-10.04,0.4,47.72,-3.05,1.42,-2.22,"False         ","False         "
27,"Sam",13,4.876," 11 March 2020 15:57","This is a dummy file name!","6.03E-08","4.78E+00",2.616,-0.3918,"9.69E-07",24.5973,-25.66,-10.29,1,53.03,1.07,1.16,-2.1,"False         ","False         "
28,"Sam",14,4.936," 11 March 2020 16:06","This is a dummy file name!","2.30E-08","1.83E+00",-1.5094,-4.5049,"8.76E-07",22.7767,-24.78,-10.19,0.37,47.14,-3.05,2.06,-2.39,"False         ","False         "
29,"Sam",15,4.838," 11 March 2020 16:15","This is a dummy file name!","4.09E-08","3.26E+00",1.4648,-1.5396,"8.95E-07",23.2278,-24.74,-10.45,0.69,49.39,-0.08,2.08,-2.2,"False         ","False         "
30,"Sam",16,4.863," 11 March 2020 16:25","This is a dummy file name!","3.76E-08","3.01E+00",0.5402,-2.4614,"8.95E-07",23.1281,-25.25,-10.13,0.62,48.91,-1,1.58,-2.24,"False         ","False         "
31,"Sam",17,4.829," 11 March 2020 16:34","This is a dummy file name!","2.55E-08","2.03E+00",-0.2881,-3.2872,"8.61E-07",22.2885,-24.79,-10.1,0.43,47.36,-1.83,2.05,-2.24,"False         ","False         "
32,"Sam",18,4.904," 11 March 2020 16:43","This is a dummy file name!","3.70E-08","2.92E+00",0.7516,-2.2506,"9.07E-07",23.4859,-24.44,-10.26,0.61,49.56,-0.79,2.37,-1.78,"False         ","False         "
33,"Sam",19,4.94," 11 March 2020 16:52","This is a dummy file name!","6.09E-08","4.84E+00",2.9992,-0.0098,"9.47E-07",24.2038,-25.22,-10.33,1,51.18,1.45,1.6,-2.1,"False         ","False         "
34,"Sam",20,4.867," 11 March 2020 17:01","This is a dummy file name!","5.98E-08","4.77E+00",1.596,-1.4088,"9.86E-07",24.9741,-25.71,-10.48,1,54.21,0.05,1.1,-2.08,"False         ","False         "
35,"Sam",21,4.949," 11 March 2020 17:11","This is a dummy file name!","4.06E-08","3.20E+00",0.6238,-2.3781,"9.27E-07",23.7879,-24.46,-10.39,0.67,50.17,-0.92,2.34,-1.94,"False         ","False         "
36,"Sam",22,4.801," 11 March 2020 17:20","This is a dummy file name!","4.81E-08","3.85E+00",1.8068,-1.1986,"9.37E-07",23.8457,-25,-10.58,0.81,51.94,0.26,1.83,-2.62,"False         ","False         "
37,"Sam"," bla",1," 11 March 2020 17:29","This is a dummy file name!","2.82E-10","1.97E-02",-89.5045,-92.236,"1.32E-10",0.0098,-44.57,-25.37,0.02,0.04,-90.77,-17.76,-17.09,"False         ","False         "
38,"Ref"," BBOT_CN.",0.948," 11 March 2020 17:38","This is a dummy file name!","7.57E-08","5.38E+00",2.7519,-0.2564,"2.57E-07",8.6595,-25.8,-7.37,6.48,72.42,1.21,1.02,0.93,"False         ","False         "
39,"Ref"," BBOT_CN.",0.969," 11 March 2020 17:47","This is a dummy file name!","7.76E-08","5.52E+00",2.6677,-0.3403,"2.64E-07",8.8726,-25.83,-7.24,6.5,72.85,1.12,0.99,1.08,"False         ","False         "
40,"Sam"," BLS",4.745," 11 March 2020 17:57","This is a dummy file name!","1.26E-07","1.01E+01",1.1765,-1.8271,"9.15E-07",23.5841,-27.07,-10.3,2.15,51.55,-0.36,-0.26,-1.96,"False         ","False         "
41,"Sam"," BLS",4.832," 11 March 2020 18:06","This is a dummy file name!","1.28E-07","1.03E+01",0.8474,-2.1551,"9.31E-07",23.847,-27.11,-10.43,2.16,51.54,-0.69,-0.29,-2.08,"False         ","False         "
42,"Sam",23,4.966," 11 March 2020 18:24","This is a dummy file name!","3.63E-08","2.89E+00",1.141,-1.8624,"9.11E-07",23.5213,-24.81,-10.33,0.59,48.91,-0.4,2.01,-2.25,"False         ","False         "
43,"Sam",24,4.872," 11 March 2020 18:33","This is a dummy file name!","7.37E-08","5.87E+00",1.6535,-1.3514,"9.92E-07",25.1026,-25.72,-10.45,1.23,54.33,0.11,1.1,-2.29,"False         ","False         "
44,"Sam",25,4.706," 11 March 2020 18:43","This is a dummy file name!","4.73E-08","3.76E+00",0.9171,-2.0857,"8.81E-07",22.8834,-24.84,-10.26,0.82,50.02,-0.62,1.97,-2,"False         ","False         "
45,"Sam",26,4.72," 11 March 2020 18:52","This is a dummy file name!","6.47E-08","5.10E+00",2.5229,-0.4847,"9.28E-07",23.8708,-25.43,-10.44,1.11,52.45,0.98,1.4,-2.3,"False         ","False         "
46,"Sam",27,4.874," 11 March 2020 19:01","This is a dummy file name!","3.20E-08","2.54E+00",0.149,-2.8514,"8.90E-07",23.0533,-24.34,-10.26,0.54,48.91,-1.39,2.47,-1.77,"False         ","False         "
47,"Sam",28,4.908," 11 March 2020 19:10","This is a dummy file name!","5.17E-08","4.11E+00",0.4256,-2.5757,"9.55E-07",24.2835,-25,-10.3,0.86,52.12,-1.11,1.81,-1.84,"False         ","False         "
48,"Sam",29,4.78," 11 March 2020 19:19","This is a dummy file name!","2.66E-08","2.13E+00",-1.8297,-4.8242,"8.59E-07",22.462,-22.78,-4.34,0.45,47.72,-3.37,4.06,3.5,"False         ","False         "
49,"Sam",30,4.721," 11 March 2020 19:29","This is a dummy file name!","3.74E-08","2.97E+00",0.0923,-2.908,"8.85E-07",22.9943,-24.88,-10.42,0.65,50.24,-1.44,1.92,-1.88,"False         ","False         "
50,"Sam",31,4.893," 11 March 2020 19:38","This is a dummy file name!","4.55E-08","3.63E+00",2.1065,-0.8998,"9.33E-07",23.9332,-24.93,-10.44,0.76,51.03,0.56,1.87,-2.01,"False         ","False         "
51,"Sam",32,4.721," 11 March 2020 19:38","This is a dummy file name!","3.74E-08","2.97E+00",0.0923,-2.908,"8.85E-07",22.9943,-24.88,-10.42,0.65,50.24,-1.44,1.92,-1.88,"False         ","False         "
52,"Sam"," bla",1," 11 March 2020 19:47","This is a dummy file name!","3.04E-10","2.05E-02",-130.0644,-132.6742,"9.17E-11",0.0075,-55.27,-12.22,0.02,0.02,-131.21,-28.47,-3.67,"False         ","False         "
53,"Ref"," BBOT_CN.",0.99," 11 March 2020 19:56","This is a dummy file name!","7.96E-08","5.64E+00",2.4705,-0.5369,"2.69E-07",8.9879,-25.8,-7.74,6.56,72.77,0.93,1,0.83,"False         ","False         "
54,"Ref"," BBOT_CN.",0.95," 11 March 2020 20:05","This is a dummy file name!","7.61E-08","5.41E+00",2.426,-0.5813,"2.56E-07",8.6401,-25.81,-7.17,6.53,72.28,0.88,0.99,1.42,"False         ","False         "
55,"Sam"," IAEA 600",0.952," 11 March 2020 20:15","This is a dummy file name!","3.37E-07","2.38E+01",3.9926,0.9806,"1.73E-07",6.1661,-27.55,-5.46,28.92,48.66,2.45,-0.75,3.15,"False         ","False         "
