"variable_name","variable_type","variable_unit"
"sample_id","character",NA
"method_name","character",NA
"time","POSIXct",NA
"Na","elco","µg/g"
"Na_flag","logical",NA
"Mg","elco","µg/g"
"Mg_flag","logical",NA
"Al","elco","µg/g"
"Al_flag","logical",NA
"Si","elco","µg/g"
"Si_flag","logical",NA
"P","elco","µg/g"
"P_flag","logical",NA
"S","elco","µg/g"
"S_flag","logical",NA
"Cl","elco","µg/g"
"Cl_flag","logical",NA
"K","elco","g/g"
"K_flag","logical",NA
"Ca","elco","g/g"
"Ca_flag","logical",NA
"Ti","elco","µg/g"
"Ti_flag","logical",NA
"Cr","elco","µg/g"
"Cr_flag","logical",NA
"Mn","elco","µg/g"
"Mn_flag","logical",NA
"Fe","elco","g/g"
"Fe_flag","logical",NA
"Cu","elco","µg/g"
"Cu_flag","logical",NA
"Zn","elco","µg/g"
"Zn_flag","logical",NA
"As","elco","µg/g"
"As_flag","logical",NA
"Br","elco","µg/g"
"Br_flag","logical",NA
"Rb","elco","µg/g"
"Rb_flag","logical",NA
"Sr","elco","µg/g"
"Sr_flag","logical",NA
"Ba","elco","µg/g"
"Ba_flag","logical",NA
"Pb","elco","µg/g"
"Pb_flag","logical",NA
"C6H10O5N","quantities","µg/g"
"C6H10O5N_flag","logical",NA
